Title,Year,link,Cast & Director,Rating,Number of reviews
L.A. Confidential,1997,https://www.imdb.com/title/tt0119488/,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe",8.2,507796
Monty Python and the Holy Grail,1975,https://www.imdb.com/title/tt0071853/,"Terry Gilliam (dir.), Graham Chapman, John Cleese",8.2,477669
Heat,1995,https://www.imdb.com/title/tt0113277/,"Michael Mann (dir.), Al Pacino, Robert De Niro",8.2,543062
Die Hard,1988,https://www.imdb.com/title/tt0095016/,"John McTiernan (dir.), Bruce Willis, Alan Rickman",8.2,748060
Rashômon,1950,https://www.imdb.com/title/tt0042876/,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô",8.2,141542
Yôjinbô,1961,https://www.imdb.com/title/tt0055630/,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno",8.2,102650
Batman Begins,2005,https://www.imdb.com/title/tt0372784/,"Christopher Nolan (dir.), Christian Bale, Michael Caine",8.2,1239887
Green Book,2018,https://www.imdb.com/title/tt6966692/,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali",8.2,287766
Unforgiven,1992,https://www.imdb.com/title/tt0105695/,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman",8.2,354153
Der Untergang,2004,https://www.imdb.com/title/tt0363163/,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara",8.2,315299
Bacheha-Ye aseman,1997,https://www.imdb.com/title/tt0118849/,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian",8.2,57875
Some Like It Hot,1959,https://www.imdb.com/title/tt0053291/,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis",8.2,229597
Hauru no ugoku shiro,2004,https://www.imdb.com/title/tt0347149/,"Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura",8.2,296346
Idi i smotri,1985,https://www.imdb.com/title/tt0091251/,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova",8.2,47523
The Great Escape,1963,https://www.imdb.com/title/tt0057115/,"John Sturges (dir.), Steve McQueen, James Garner",8.2,212129
Ran,1985,https://www.imdb.com/title/tt0089881/,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao",8.2,103663
Tonari no Totoro,1988,https://www.imdb.com/title/tt0096283/,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka",8.2,253780
All About Eve,1950,https://www.imdb.com/title/tt0042192/,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter",8.2,113576
A Beautiful Mind,2001,https://www.imdb.com/title/tt0268978/,"Ron Howard (dir.), Russell Crowe, Ed Harris",8.2,800053
Casino,1995,https://www.imdb.com/title/tt0112641/,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone",8.2,433946
Pan's Labyrinth,2006,https://www.imdb.com/title/tt0457430/,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil",8.2,589863
Raging Bull,1980,https://www.imdb.com/title/tt0081398/,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty",8.2,301875
El secreto de sus ojos,2009,https://www.imdb.com/title/tt1305806/,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil",8.2,179702
"Lock, Stock and Two Smoking Barrels",1998,https://www.imdb.com/title/tt0120735/,"Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher",8.2,508141
The Wolf of Wall Street,2013,https://www.imdb.com/title/tt0993846/,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill",8.1,1088005
The Treasure of the Sierra Madre,1948,https://www.imdb.com/title/tt0040897/,"John Huston (dir.), Humphrey Bogart, Walter Huston",8.1,107442
Judgment at Nuremberg,1961,https://www.imdb.com/title/tt0055031/,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster",8.1,64486
"Three Billboards Outside Ebbing, Missouri",2017,https://www.imdb.com/title/tt5027774/,"Martin McDonagh (dir.), Frances McDormand, Woody Harrelson",8.1,380882
Babam ve Oglum,2005,https://www.imdb.com/title/tt0476735/,"Çagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan",8.1,72113
Chinatown,1974,https://www.imdb.com/title/tt0071315/,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway",8.1,276088
There Will Be Blood,2007,https://www.imdb.com/title/tt0469494/,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano",8.1,482028
The Gold Rush,1925,https://www.imdb.com/title/tt0015864/,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain",8.1,93193
Dial M for Murder,1954,https://www.imdb.com/title/tt0046912/,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly",8.1,146251
V for Vendetta,2005,https://www.imdb.com/title/tt0434409/,"James McTeigue (dir.), Hugo Weaving, Natalie Portman",8.1,980520
Inside Out,2015,https://www.imdb.com/title/tt2096673/,"Pete Docter (dir.), Amy Poehler, Bill Hader",8.1,566155
Det sjunde inseglet,1957,https://www.imdb.com/title/tt0050976/,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand",8.1,150090
Warrior,2011,https://www.imdb.com/title/tt1291584/,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte",8.1,415105
No Country for Old Men,2007,https://www.imdb.com/title/tt0477348/,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem",8.1,797634
Trainspotting,1996,https://www.imdb.com/title/tt0117951/,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner",8.1,607521
The Elephant Man,1980,https://www.imdb.com/title/tt0080678/,"David Lynch (dir.), Anthony Hopkins, John Hurt",8.1,206958
Shutter Island,2010,https://www.imdb.com/title/tt1130884/,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer",8.1,1051241
Room,2015,https://www.imdb.com/title/tt3170832/,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay",8.1,336683
The Sixth Sense,1999,https://www.imdb.com/title/tt0167404/,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment",8.1,870360
The Thing,1982,https://www.imdb.com/title/tt0084787/,"John Carpenter (dir.), Kurt Russell, Wilford Brimley",8.1,346885
Gone with the Wind,1939,https://www.imdb.com/title/tt0031381/,"Victor Fleming (dir.), Clark Gable, Vivien Leigh",8.1,273006
Blade Runner,1982,https://www.imdb.com/title/tt0083658/,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer",8.1,654099
The Bridge on the River Kwai,1957,https://www.imdb.com/title/tt0050212/,"David Lean (dir.), William Holden, Alec Guinness",8.1,192370
Jurassic Park,1993,https://www.imdb.com/title/tt0107290/,"Steven Spielberg (dir.), Sam Neill, Laura Dern",8.1,813152
The Third Man,1949,https://www.imdb.com/title/tt0041959/,"Carol Reed (dir.), Orson Welles, Joseph Cotten",8.1,150317
Ford v. Ferrari,2019,https://www.imdb.com/title/tt1950186/,"James Mangold (dir.), Matt Damon, Christian Bale",8.1,127788
On the Waterfront,1954,https://www.imdb.com/title/tt0047296/,"Elia Kazan (dir.), Marlon Brando, Karl Malden",8.1,133371
Finding Nemo,2003,https://www.imdb.com/title/tt0266543/,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres",8.1,900785
Smultronstället,1957,https://www.imdb.com/title/tt0050986/,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson",8.1,87951
Fargo,1996,https://www.imdb.com/title/tt0116282/,"Joel Coen (dir.), William H. Macy, Frances McDormand",8.1,581618
Gran Torino,2008,https://www.imdb.com/title/tt1205489/,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang",8.1,689173
Kill Bill: Vol. 1,2003,https://www.imdb.com/title/tt0266697/,"Quentin Tarantino (dir.), Uma Thurman, David Carradine",8.1,944803
Andhadhun,2018,https://www.imdb.com/title/tt8108198/,"Sriram Raghavan (dir.), Ayushmann Khurrana, Tabu",8.1,55369
The Deer Hunter,1978,https://www.imdb.com/title/tt0077416/,"Michael Cimino (dir.), Robert De Niro, Christopher Walken",8.1,294263
Tôkyô monogatari,1953,https://www.imdb.com/title/tt0046438/,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama",8.1,46686
The Truman Show,1998,https://www.imdb.com/title/tt0120382/,"Peter Weir (dir.), Jim Carrey, Ed Harris",8.1,873113
Stalker,1979,https://www.imdb.com/title/tt0079944/,"Andrei Tarkovsky (dir.), Alisa Freyndlikh, Aleksandr Kaydanovskiy",8.1,104253
Eskiya,1996,https://www.imdb.com/title/tt0116231/,"Yavuz Turgul (dir.), Sener Sen, Ugur Yücel",8.1,58503
Relatos salvajes,2014,https://www.imdb.com/title/tt3011894/,"Damián Szifron (dir.), Darío Grandinetti, María Marull",8.1,159834
The Big Lebowski,1998,https://www.imdb.com/title/tt0118715/,"Joel Coen (dir.), Jeff Bridges, John Goodman",8.1,687784
Mary and Max,2009,https://www.imdb.com/title/tt0978762/,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman",8.1,155962
Salinui chueok,2003,https://www.imdb.com/title/tt0353969/,"Bong Joon Ho (dir.), Kang-ho Song, Sang-kyung Kim",8.1,112337
